section,feature_action,what_frontend_uses,data_flow,raises_aws_data_transfer_out,can_move_to_spaces_to_browser,size_example_use_or_save,browser_load_if_moved_to_direct_spaces_pct
Main happy path,Upload file / folder,upload-file / upload-folder* / multipart,Browser → Docker → Spaces,Inbound from user; possible Out EC2→Spaces,Yes — presigned PUT / multipart to Spaces,"Example: upload 1 GB → ~1 GB browser→EC2 (typically In not Out) + ~1 GB EC2→Spaces (may count as Out). Direct-to-Spaces: save ~1 GB through EC2.","Browser load ~25–45%. File already read from disk today; direct PUT only removes Docker hop. Network use same ~1 GB from PC. Slightly less work than Browser→Docker→Spaces (no double hop). Not much heavier than current upload."
Main happy path,Download from URL into Stolity,POST /download-file-bucket,External → Docker → Spaces,Possible Out EC2→Spaces,Limited — browser fetch+upload or keep server,"Example: ingest 500 MB remote file → ~500 MB into EC2 + ~500 MB EC2→Spaces. Not EC2 Out to end user.","If browser does it: ~40–60% (fetch remote + upload to Spaces; CORS often blocks). Server path usually better."
Main happy path,File convert,POST /convert-file,Browser → Docker → Spaces,Possible Out EC2→Spaces,No — needs server CPU; output download can be Spaces→Browser,"Example: convert 100 MB video → file through Docker; output later downloaded via Spaces→Browser can avoid extra EC2 Out.","N/A for convert on browser (too heavy ~90%+). Keep convert on server."
Main happy path,Move / copy / soft-delete / restore,CopyObject APIs,Spaces → Spaces,No,N/A,"Example: copy 10 GB folder → ~0 bytes through EC2 (storage-side copy). Negligible API JSON only.","Browser load ~0–5% (API JSON only)."
Main happy path,Accept shared file-transfer,CopyObject,Spaces → Spaces,No,N/A,"Example: accept 3 GB share → ~0 EC2 file bytes.","Browser load ~0–5%."
Main happy path,Folder download (DefaultFolder),GET /download-folder (zip only),Spaces → Docker → Browser,Yes,Yes — same no-zip + signed URLs as Files,"Example: 2 GB folder zip → ~2 GB EC2 DTO Out. Switch to no-zip Spaces→Browser: save ~2 GB EC2 Out per download.","If moved to no-zip Direct Stream: browser load ~40–70% (same as Files folder download)."
Fallback,Multi-file signed fetch fails,GET /download-file proxy,Spaces → Docker → Browser,Yes,Yes — fix CORS / remove fallback,"Example: fallback on 10 × 100 MB = 1 GB → ~1 GB EC2 DTO Out that happy path would have avoided.","Fixing CORS keeps Direct Stream: browser load ~40–70% (unchanged from happy path). Removing fallback without CORS fix = broken download."
Fallback,Folder entry signed fetch fails,GET /download-file per file,Spaces → Docker → Browser,Yes,Yes — fix CORS / use entry url,"Example: 20 files × 50 MB = 1 GB through EC2 if all fall back.","Same as above ~40–70% if staying on Direct Stream."
Fallback,Folder no-zip fails (Files/Nested/Favourites),GET /download-folder zip,Spaces → Docker → Browser,Yes,Yes — harden no-zip avoid zip fallback,"Example: 4 GB zip fallback → ~4 GB EC2 DTO Out.","Hardened no-zip: ~40–70% browser. Zip via Docker: browser ~20–40% (receives one zip) but EC2 pays the cost."
Unused,Download via getFile arraybuffer,Dead / commented for download,N/A (unused),No,N/A,0 — not called for download,N/A
Unused,RecycleBin download,No download action,N/A,No,N/A,0,N/A
Unused,saveBlobToDownloads,No callers,N/A,No,N/A,0,N/A
